time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,0.94543973131,0.752957732891,5.05481437327,0.205779262769,0.105547889771,0.505999253201,0.71396027664,0.965878552138,1.02672118799,0.0877108108144,0.0698167568493,0.0999626546035,483.6530090344878,481.3808099111876,482.5645648642876,481.6432055654433
0.12000000000000001,0.986106077588,0.814998931563,5.11843262621,0.211403974099,0.109441956395,0.511996266235,0.641189025306,1.10262865481,1.09363949496,0.103680749483,0.0526072920706,0.0999253370918,433.15752031399006,431.71116813374476,433.66846205286726,435.01521426776407
0.18,1.02187021463,0.88622982136,5.19010810649,0.217942162685,0.11274818442,0.517991040775,0.550584202254,1.2723824201,1.29507274548,0.117863457863,0.05967830381,0.0998880474339,476.567553988895,477.1094724131127,475.1279089972798,476.223408371765
0.23999999999999996,1.05231509218,0.96741205854,5.27210477527,0.225133652417,0.116294746491,0.523983578492,0.463864332097,1.43436903253,1.43769373774,0.12357227528,0.0579470179031,0.0998507855984,459.6026257617977,459.46772382843085,458.8000196974572,459.2654317484849
0.3,1.07750948625,1.05839714175,5.36232313227,0.232743138643,0.119483117863,0.529973881055,0.37559348727,1.59916830983,1.56909948817,0.132638527491,0.041188224414,0.0998135515543,457.71468281033765,456.3808306370976,456.13629111893783,456.87382585640734
0.36000000000000004,1.09699764282,1.16008161874,5.46311625659,0.240256415436,0.121680065087,0.53596195013,0.273751908937,1.79110528203,1.78996308297,0.103169519973,0.0253945963295,0.0997763452705,485.6808789354587,484.4954473037532,486.397589791325,484.1981213352895
0.4200000000000001,1.11105708261,1.27200926145,5.5712635281,0.246038275089,0.123503284045,0.541947787382,0.194721456603,1.94029895273,1.81465780283,0.0771062501279,0.0388593350403,0.0997391667159,423.34729156383105,424.5045748748563,425.96460811960486,423.7381191463558
0.48000000000000015,1.12000099731,1.39362894306,5.68342594427,0.250935625787,0.125621407676,0.547931394475,0.103168247827,2.11407078836,1.92362659049,0.0893920306635,0.02702143279,0.0997020158596,453.2579810317855,452.3061580367284,452.3608790991845,453.3542822405974
0.5400000000000001,1.12323770733,1.52609188319,5.80333212668,0.255929228869,0.127400327678,0.55391277307,0.00453590473097,2.30179083847,2.07264740186,0.0665625171594,0.034443273963,0.0996648926707,465.82766103037795,466.4078756981829,467.72817576003223,465.9519989935205
0.6000000000000002,1.12096166643,1.66901132313,5.92869697185,0.259636302481,0.129202467008,0.559891924825,-0.0806235857475,2.46246781761,2.10586751792,0.0499277075834,0.0193149322774,0.0996277971181,430.7454367862836,429.46450246363366,431.12878177500556,429.72381358508284
0.6600000000000003,1.11345357645,1.82178635813,6.05661339167,0.262228722274,0.130336203613,0.5658688514,-0.169794962669,2.63021560178,2.15767671249,0.024295048571,0.0180435613414,0.0995907291712,437.75282312155247,437.6469722309171,437.7215965612138,435.5842659903954
0.7200000000000003,1.10107967192,1.9836345812,6.18378298479,0.26375338028,0.131805941012,0.571843554449,-0.242859277185,2.76483539375,2.08131996476,0.0275539895434,0.0350018016193,0.099553688799,392.60701142028694,394.1774791939966,392.4203578929269,392.7229673167578
0.7800000000000004,1.08358218155,2.15494792483,6.31141896608,0.265376389836,0.133823508968,0.577816035626,-0.340645864831,2.94565992626,2.17277871239,0.0260231200736,0.0307228011075,0.0995166759708,450.6220163585024,450.27642197130405,451.44888388972697,451.3255015764589
0.8400000000000004,1.06000125578,2.33744342437,6.44564009172,0.267110530806,0.13529024231,0.583786296584,-0.445604526147,3.13755857345,2.30070357946,0.0341143707946,0.00733422010572,0.0994796906559,464.6212169270792,462.7839592718893,462.9748591703196,463.61123947593813
0.9000000000000005,1.02986463814,2.53189956132,6.58901194768,0.268702721872,0.135654609044,0.589754338972,-0.559013895077,3.34435287951,2.47763363465,0.0036483365669,0.00342225316253,0.0994427328236,479.5134274536544,479.2160542359576,481.4847382051183,479.1743674448772
0.9600000000000005,0.99384737657,2.73693528253,6.73624279037,0.26879977766,0.136455151601,0.595720164439,-0.641727209116,3.49018691939,2.43001888562,-0.00278958688393,0.0281052568842,0.0994058024434,406.3890162371144,408.59554608070454,407.76270031007886,407.1871157024442
1.0200000000000005,0.951882948481,2.95253812836,6.88720130527,0.268342159572,0.138636088498,0.601683774632,-0.757353389547,3.69636228376,2.60122145247,-0.019679127342,0.0491445463962,0.0993688994845,478.3461428301359,479.9461376091088,480.83607780733814,479.55494723270016
1.0800000000000005,0.902978362391,3.18034307353,7.04786170358,0.26681325378,0.141855175578,0.607645171195,-0.87320135842,3.8968175667,2.75344651319,-0.0408038219357,0.0614087546015,0.0993320239166,475.59305846776647,476.53317346073595,475.4361090429161,473.8146226023753
1.1400000000000006,0.847737520493,3.41881212691,7.21279463971,0.26431551835,0.14609586618,0.61360435577,-0.968653384178,4.05191221494,2.74416736237,-0.0433319138443,0.0846914677542,0.0992951757091,423.0818290257129,425.0857713716148,424.64966481849984,424.43171543183695
1.2000000000000006,0.786580243058,3.6666802823,7.37766514938,0.262027330342,0.150991391265,0.61956133,-1.07051489422,4.21010656899,2.75128460084,-0.0293719442868,0.0745386063377,0.0992583548316,431.1345168857579,430.28136989338725,429.29666660820294,430.4788500071178
1.2600000000000007,0.718289119929,3.92552689023,7.54863351793,0.259865037943,0.155263131346,0.625516095523,-1.20642062051,4.4176865086,2.94674838354,-0.0547218838429,0.0634978971107,0.0992215612536,490.8885307002074,490.0718641925914,491.79838226331003,489.91648062839596
